ncaa_player_name,consensus_tier,ncaa_year
Keegan Murray,2,
Bennedict Mathurin,2,
Dyson Daniels,2,
Shaedon Sharpe,2,
Johnny Davis,3,
Jalen Duren,3,
AJ Griffin,3,
Jeremy Sochan,3,
Ousmane Dieng,3,
Mark Williams,4,
Ochai Agbaji,4,
Tari Eason,4,
Malaki Branhham,4,
Jalen Williams,4,
Blake Wesley,5,
TyTy Washington Jr.,5,
E.J. Liddell,5,
MarJon Beauchamp,5,
Dalen Terry,5,
Jaden Hardy,5,
Walker Kessler,6,
Wendell Moore Jr.,6,
Nikola Jovic,6,
Kennedy Chandler,6,
Jake LaRavia,6,
Christian Braun,6,
