peak_Player-additional,peak_Age,peak_G,peak_GS,peak_MP,peak_FG,peak_FGA,peak_FG%,peak_3P,peak_3PA,peak_3P%,peak_2P,peak_2PA,peak_2P%,peak_FT,peak_FTA,peak_FT%,peak_ORB,peak_DRB,peak_TRB,peak_AST,peak_STL,peak_BLK,peak_TOV,peak_PF,peak_PTS,peak_ORtg,peak_DRtg,peak_AST_2_TOV,peak_AST_2_FG,peak_PPP,peak_Season,peak_PER,peak_TS%,peak_3PAr,peak_FTr,peak_ORB%,peak_DRB%,peak_TRB%,peak_AST%,peak_STL%,peak_BLK%,peak_TOV%,peak_USG%,peak_OWS,peak_DWS,peak_WS,peak_WS/48,peak_OBPM,peak_DBPM,peak_BPM,peak_VORP,peak_Dist.,peak_2P_prop,peak_0-3_prop,peak_3-10_prop,peak_10-16_prop,peak_16-3P_prop,peak_3P_prop,peak_2P_fg%,peak_0-3_fg%,peak_3-10_fg%,peak_10-16_fg%,peak_16-3P_fg%,peak_3P_fg%,peak_2P_%astd,peak_3P_%astd,peak_dunk_%FGA,peak_dunk_#,peak_corner_%3PA,peak_corner_3P%,peak_heave_Att.,peak_heave_#
barrean01,22.0,38.0,1.0,12.71,4.9,13.6,0.36,1.5,5.7,0.27,3.4,7.9,0.43,1.5,2.1,0.74,1.2,3.2,4.4,7.5,2.1,0.1,3.0,5.6,12.9,96.0,106.0,2.5,0.55,0.74,2004.0,8.6,0.45,0.42,0.15,2.7,6.7,4.7,22.3,2.1,0.1,16.9,15.0,-0.1,0.5,0.4,0.04,-3.2,0.4,-2.8,-0.1,16.7,0.58,0.17,0.08,0.11,0.22,0.42,0.43,0.48,0.2,0.57,0.41,0.27,0.45,0.86,0.0,0.0,0.54,0.32,1.0,0.0
barrerj01,21.0,71.67,71.67,34.44,9.87,23.1,0.43,2.6,7.47,0.35,7.27,15.7,0.46,5.3,7.23,0.73,1.33,6.73,7.97,4.2,0.87,0.33,3.07,3.4,27.6,105.33,113.67,1.38,0.18,0.94,2021.0,13.33,0.53,0.32,0.31,2.87,14.67,8.73,13.7,0.87,0.7,10.4,25.73,0.5,2.37,2.87,0.06,-0.8,-1.17,-1.97,0.0,11.67,0.68,0.31,0.25,0.07,0.04,0.32,0.46,0.61,0.34,0.31,0.32,0.35,0.39,0.94,0.04,36.0,0.32,0.35,0.67,0.0
barroda01,34.0,29.0,20.0,20.07,6.8,17.6,0.38,2.2,6.5,0.34,4.6,11.1,0.41,1.9,2.5,0.78,0.1,5.1,5.2,7.1,1.3,0.2,3.0,3.4,17.7,96.0,106.0,2.37,0.4,0.81,2001.0,10.5,0.47,0.37,0.14,0.2,11.3,5.8,22.5,1.3,0.2,13.9,19.2,0.0,0.5,0.5,0.04,-2.0,-0.6,-2.6,-0.1,17.1,0.63,0.16,0.07,0.07,0.33,0.37,0.41,0.52,0.38,0.36,0.38,0.34,0.34,0.96,0.0,0.0,0.13,0.44,0.0,0.0
barroea01,26.67,31.67,7.33,13.7,6.57,19.43,0.34,0.03,0.37,0.04,6.53,19.1,0.34,3.57,4.67,0.76,4.83,7.03,11.87,1.63,1.37,0.87,2.83,6.7,16.7,85.0,107.67,0.58,0.09,0.68,2007.67,7.4,0.39,0.02,0.24,10.77,15.87,13.27,5.2,1.37,1.27,11.7,21.57,-0.7,0.37,-0.3,-0.04,-5.9,-2.43,-8.3,-0.7,11.17,0.98,0.28,0.15,0.14,0.41,0.02,0.34,0.51,0.29,0.24,0.29,0.03,0.68,0.33,0.03,4.0,0.05,0.0,0.33,0.0
barrybr01,33.67,62.33,36.67,25.72,7.07,14.5,0.49,3.93,9.07,0.43,3.13,5.43,0.58,2.93,3.3,0.89,0.93,5.23,6.13,5.8,2.03,0.47,2.23,3.43,21.0,126.0,103.33,2.61,0.4,1.15,2004.67,17.53,0.66,0.62,0.23,2.07,11.27,6.8,16.9,2.03,0.6,12.17,15.97,4.83,2.23,7.07,0.2,2.97,1.47,4.47,3.07,18.77,0.38,0.15,0.07,0.05,0.1,0.62,0.58,0.76,0.43,0.43,0.51,0.43,0.69,0.96,0.02,12.0,0.25,0.52,0.33,0.0
barryjo01,33.0,73.0,5.0,20.65,6.53,14.6,0.45,3.0,7.1,0.42,3.57,7.47,0.48,2.97,3.4,0.88,1.17,5.1,6.27,7.33,2.53,0.47,2.83,3.53,19.03,115.67,102.33,2.6,0.5,1.0,2002.0,16.73,0.59,0.49,0.23,2.53,11.17,6.8,23.1,2.53,0.63,14.97,16.43,3.37,1.93,5.3,0.16,2.0,1.37,3.4,2.13,18.03,0.51,0.17,0.04,0.08,0.23,0.49,0.48,0.6,0.4,0.45,0.42,0.42,0.54,0.74,0.0,0.33,0.26,0.36,0.0,0.0
bartowi01,27.0,73.67,33.0,31.62,8.77,19.63,0.44,2.7,7.37,0.36,6.07,12.27,0.49,3.53,4.43,0.79,1.53,7.57,9.03,5.3,1.53,0.83,2.7,3.1,23.67,110.33,110.33,2.0,0.27,0.97,2017.0,15.93,0.55,0.38,0.22,3.4,17.03,10.17,16.3,1.53,1.43,10.93,21.27,3.07,1.83,4.9,0.1,1.33,-0.33,1.0,1.77,13.13,0.62,0.29,0.19,0.08,0.07,0.38,0.49,0.63,0.37,0.4,0.4,0.36,0.39,0.74,0.04,36.33,0.12,0.41,3.0,0.33
bassbr01,28.67,64.67,17.0,19.16,8.2,15.03,0.55,0.03,0.17,0.11,8.17,14.9,0.55,5.47,6.43,0.85,3.73,7.3,11.07,2.03,1.03,1.5,2.23,4.27,21.9,121.67,107.67,1.02,0.14,1.09,2013.67,17.63,0.61,0.01,0.43,8.27,15.97,12.13,6.63,1.03,2.27,10.93,17.8,2.73,1.47,4.2,0.16,0.5,-0.1,0.4,0.8,7.43,0.99,0.48,0.13,0.21,0.18,0.01,0.55,0.68,0.42,0.43,0.39,0.11,0.7,0.33,0.21,67.33,0.11,0.0,0.0,0.0
bastoma01,32.0,37.0,1.0,8.33,6.0,10.1,0.59,0.2,0.55,0.21,5.8,9.55,0.61,4.3,6.1,0.71,3.85,6.85,10.7,1.85,1.45,2.3,3.45,8.6,16.55,112.5,106.0,0.54,0.18,1.01,2007.0,13.0,0.65,0.06,0.6,8.5,15.4,11.9,5.55,1.45,3.4,21.05,14.1,0.35,0.35,0.8,0.12,-2.8,0.85,-1.95,0.0,5.05,0.94,0.64,0.17,0.08,0.06,0.06,0.61,0.66,0.6,0.14,0.5,0.21,0.7,0.5,0.24,14.5,0.0,0.0,0.0,0.0
bateeme01,26.0,27.0,10.0,15.11,6.9,17.2,0.4,0.5,1.6,0.33,6.4,15.6,0.41,3.8,4.8,0.78,4.2,8.3,12.5,2.9,1.3,0.7,4.2,12.2,18.1,92.0,107.0,0.69,0.17,0.77,2001.0,8.0,0.47,0.09,0.28,8.5,18.8,13.4,8.9,1.3,0.9,17.8,19.8,-0.2,0.3,0.1,0.01,-6.3,-1.1,-7.4,-0.6,9.9,0.91,0.38,0.14,0.14,0.25,0.09,0.41,0.46,0.32,0.56,0.3,0.33,0.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0
