PLAYER,YEAR,POS,HEIGHT,WEIGHT,STANDING REACH,WINGSPAN,STANDING VERTICAL,VERTICAL LEAP,LANE AGILITY,THREE QUARTER SPRINT
Marcus Denmon,2012,SG,74.25,188.2,94.5,77.0,33.5,40.0,10.82,3.19
Andre Drummond,2012,C,81.75,278.6,109.5,90.25,31.5,33.5,10.83,3.39
Kim English,2012,SG,76.5,192.0,98.0,78.5,29.0,36.5,10.59,3.33
Festus Ezeli,2012,PF/C,81.75,264.2,108.0,89.75,34.0,33.5,12.35,3.29
Drew Gordon,2012,PF,80.0,239.0,103.5,83.5,29.0,34.0,11.35,3.49
Draymond Green,2012,SF/PF,77.75,235.6,105.0,85.25,28.0,33.0,11.01,3.4
JaMychal Green,2012,PF,80.0,217.4,106.5,86.25,29.5,32.5,10.63,3.38
Maurice Harkless,2012,SF,79.25,206.6,102.5,84.0,32.5,37.0,10.87,3.25
John Henson,2012,PF,81.0,216.0,112.0,89.0,25.5,30.0,11.6,3.3
Tu Holloway,2012,PG,70.5,186.8,94.5,77.5,28.0,35.0,11.0,3.42
Robbie Hummel,2012,SF,79.25,218.0,102.0,80.5,27.5,30.0,11.56,3.41
Bernard James,2012,PF,80.75,229.8,108.5,87.0,30.0,32.5,11.84,3.4
John Jenkins,2012,SG,75.25,212.0,98.0,80.5,30.5,36.5,11.36,3.37
Darius Johnson-Odom,2012,SG,73.5,212.0,96.0,79.0,33.5,41.5,10.76,3.21
Orlando Johnson,2012,SG,75.75,223.8,99.0,83.25,32.0,39.5,10.98,3.25
Kevin Jones,2012,PF,78.25,251.2,105.0,85.5,27.5,32.5,11.94,3.6
Perry Jones,2012,SF/PF,82.25,233.8,107.0,85.75,33.0,38.5,11.31,3.19
Terrence Jones,2012,SF/PF,80.25,252.0,107.0,86.25,29.5,34.5,11.57,3.4
Kris Joseph,2012,SG,78.0,215.0,104.0,83.0,28.5,35.0,11.4,3.46
Michael Kidd-Gilchrist,2012,SF,77.75,232.8,104.5,84.0,32.0,35.5,11.77,3.18
Doron Lamb,2012,PG/SG,75.25,199.4,98.5,78.75,29.0,33.5,11.12,3.41
Jeremy Lamb,2012,SG,76.0,179.2,102.0,83.0,31.5,38.0,10.98,3.25
Meyers Leonard,2012,C,83.75,249.8,108.0,87.0,30.0,32.5,11.34,3.41
Damian Lillard,2012,PG,73.75,188.8,95.5,79.75,34.5,39.5,11.15,3.34
Scott Machado,2012,PG,73.0,205.8,94.5,76.0,27.0,32.5,11.26,3.3
Kendall Marshall,2012,PG,75.25,198.4,96.0,77.5,31.0,37.0,12.03,3.23
Fab Melo,2012,C,82.75,255.0,110.0,86.5,29.5,31.0,12.14,3.44
Khris Middleton,2012,SF,78.75,216.2,103.0,82.75,28.0,31.0,11.45,3.47
Darius Miller,2012,SG/SF,78.0,233.4,101.0,81.0,33.0,37.0,11.34,3.31
Quincy Miller,2012,SF,80.75,218.7,105.0,85.25,30.5,36.0,11.05,3.48
Arnett Moultrie,2012,PF,81.5,232.8,106.5,86.25,33.5,37.5,11.32,3.22
Kevin Murphy,2012,SG,77.0,194.0,99.0,78.75,31.0,36.5,10.97,3.42
Andrew Nicholson,2012,PF,80.5,234.0,107.0,88.0,28.5,30.5,11.89,3.67
Kyle O'Quinn,2012,PF,80.5,240.8,106.5,88.75,31.5,31.5,11.65,3.53
Miles Plumlee,2012,PF/C,82.5,252.4,105.5,84.75,34.0,40.5,10.64,3.36
Austin Rivers,2012,PG/SG,75.5,202.8,96.5,79.25,32.5,37.5,11.54,3.32
Thomas Robinson,2012,PF,79.75,244.2,106.0,87.25,28.5,35.5,11.96,3.17
Terrence Ross,2012,SG/SF,78.0,196.6,100.5,79.25,31.0,37.5,11.78,3.28
Tomas Satoransky,2012,PG/SG,78.5,200.6,100.0,79.25,29.4,34.8,11.3,3.3
Mike Scott,2012,PF,79.25,240.8,104.0,82.75,27.0,32.5,11.59,3.44
Henry Sims,2012,PF/C,82.0,241.2,108.0,88.0,26.5,29.5,12.33,3.44
Jared Sullinger,2012,PF,79.75,268.2,105.5,85.25,29.5,31.0,12.77,3.81
Jeff Taylor,2012,SG/SF,78.0,212.8,101.5,78.25,33.5,40.0,10.87,3.29
Jordan Taylor,2012,PG,73.0,192.8,92.5,75.0,33.0,36.5,10.57,3.19
Tyshawn Taylor,2012,PG,74.75,177.0,97.5,78.25,32.0,36.5,11.48,3.2
Marquis Teague,2012,PG,73.0,179.8,96.5,79.25,32.5,40.5,10.65,3.19
Hollis Thompson,2012,SF,78.75,206.0,102.5,81.5,28.5,36.5,11.72,3.38
Dion Waiters,2012,SG,74.5,221.0,98.0,79.25,29.5,34.9,11.3,3.3
Royce White,2012,PF,79.0,260.6,104.5,84.0,28.1,32.4,11.8,3.4
Tony Wroten,2012,PG,76.75,203.2,101.0,81.0,30.0,35.5,10.75,3.24
Tyler Zeller,2012,PF/C,83.25,247.4,104.5,84.0,30.0,34.0,11.13,3.4
Keith Benson,2011,PF/C,82.0,217.0,109.5,87.75,31.5,36.0,11.88,3.35
Marshon Brooks,2011,SG,76.25,194.6,101.0,85.0,34.0,38.5,10.74,3.09
Alec Burks,2011,SG,77.0,192.6,103.5,82.0,29.0,36.0,10.96,3.17
Jimmy Butler,2011,SF,78.0,222.2,101.5,79.5,32.0,39.0,11.12,3.15
Norris Cole,2011,PG,72.25,174.4,95.5,74.25,29.5,38.5,10.07,3.22
Jon Diebler,2011,SG,77.25,196.6,99.0,78.0,28.0,35.0,10.94,3.37
Michael Dunigan,2011,PF/C,80.5,237.6,107.5,87.25,29.5,34.5,11.85,3.27
LaceDarius Dunn,2011,SG,75.0,187.8,101.0,78.25,26.5,31.0,11.45,3.27
Kenneth Faried,2011,PF,78.0,224.6,108.0,84.0,30.5,35.0,11.35,3.26
James Fredette,2011,PG,72.75,196.0,96.5,76.5,28.0,33.0,10.42,3.21
Andrew Goudelock,2011,PG,73.25,197.6,96.5,76.25,32.5,37.0,10.33,3.1
Jordan Hamilton,2011,SF,78.75,228.4,104.0,81.5,25.0,32.0,11.47,3.3
Justin Harper,2011,SF/PF,80.0,228.0,106.0,83.75,28.5,33.0,11.92,3.3
Tobias Harris,2011,SF/PF,78.5,222.8,103.5,83.0,31.5,37.5,10.96,3.17
Tyler Honeycutt,2011,SF,78.75,186.8,105.0,81.0,30.0,37.0,11.68,3.07
Scotty Hopson,2011,SG,77.75,204.6,103.5,82.5,32.5,36.0,10.47,3.18
Kyrie Irving,2011,PG,73.75,191.0,99.0,76.0,30.2,36.2,11.1,3.2
Rick Jackson,2011,PF,80.25,241.8,106.5,86.0,28.5,33.0,11.51,3.26
Charles Jenkins,2011,PG/SG,73.5,216.4,96.5,79.5,29.5,34.0,11.68,3.18
JaJuan Johnson,2011,PF,81.0,219.8,107.5,86.0,33.5,38.0,11.21,3.14
Cory Joseph,2011,PG,74.0,186.2,99.0,77.5,27.5,35.0,10.75,3.27
Enes Kanter,2011,PF/C,81.75,259.2,109.5,85.5,26.0,32.5,11.3,3.26
Brandon Knight,2011,PG,73.5,176.8,98.5,78.75,29.0,37.5,10.74,3.07
Malcolm Lee,2011,SG,76.0,198.2,101.5,81.75,30.0,35.5,11.2,3.09
Kawhi Leonard,2011,SF,78.0,227.4,106.0,87.0,25.5,32.0,11.45,3.15
Travis Leslie,2011,SG,75.0,205.0,103.0,82.5,33.0,40.5,11.0,3.13
Jon Leuer,2011,PF,82.0,223.2,105.5,84.0,29.5,36.5,10.82,3.36
DeAndre Liggins,2011,SG/SF,77.0,202.2,103.5,83.0,27.0,31.0,11.3,3.33
David Lighty,2011,SG,76.75,216.2,101.0,80.0,28.5,33.0,10.81,3.25
Shelvin Mack,2011,PG,73.0,209.0,96.5,79.5,32.0,39.0,11.23,3.18
Demetri McCamey,2011,PG,73.75,204.0,99.5,78.25,27.0,33.0,11.55,3.19
E'Twaun Moore,2011,SG,74.5,191.4,99.5,81.5,32.0,34.5,11.12,3.31
Darius Morris,2011,PG/SG,75.25,190.0,102.0,79.5,24.5,32.0,11.0,3.2
Marcus Morris,2011,SF/PF,79.0,229.6,105.5,82.0,29.0,33.0,11.6,3.15
Markieff Morris,2011,PF,79.75,240.8,106.5,82.75,27.0,31.5,11.7,3.4
Chandler Parsons,2011,SF,80.75,221.2,104.5,81.5,25.5,31.5,11.05,3.29
Jereme Richmond,2011,SF,78.0,207.2,106.5,82.25,27.0,33.5,11.74,3.02
Josh Selby,2011,PG/SG,73.75,194.6,98.0,77.25,29.5,42.0,11.13,3.2
Iman Shumpert,2011,PG/SG,76.25,221.8,99.5,81.5,36.5,42.0,11.1,3.18
Kyle Singler,2011,SF,79.5,228.0,106.0,82.1,23.0,30.0,11.22,3.21
Chris Singleton,2011,SF,79.75,230.2,103.5,85.0,30.5,37.5,11.33,3.09
Jamie Skeen,2011,PF,78.5,241.6,106.5,85.25,26.0,30.5,12.43,3.46
Gregory Smith,2011,PF/C,80.0,252.8,106.5,86.5,29.5,36.0,12.43,3.36
Nolan Smith,2011,PG,73.5,187.6,99.0,77.5,28.5,34.0,11.05,3.17
Isaiah Thomas,2011,PG,68.75,186.0,91.5,73.75,31.5,40.0,10.49,3.14
Malcolm Thomas,2011,PF,79.5,223.0,107.5,84.5,32.0,36.5,11.31,3.29
Trey Thompkins,2011,PF,80.5,239.0,107.5,85.0,27.5,30.5,11.72,3.41
Klay Thompson,2011,SG,77.75,205.6,103.5,81.0,26.5,31.5,10.99,3.24
Tristan Thompson,2011,PF,79.5,227.4,108.5,85.25,30.0,35.0,10.92,3.26
Jeremy Tyler,2011,PF/C,81.0,262.4,110.5,89.0,28.0,33.5,11.26,3.29
Nikola Vucevic,2011,PF/C,82.25,259.8,112.5,88.5,23.5,25.0,12.02,3.27
Kemba Walker,2011,PG,71.5,184.0,91.5,75.5,32.0,39.5,10.87,3.16
Derrick Williams,2011,SF/PF,79.25,248.4,108.0,85.5,29.0,34.5,11.03,3.23
Jordan Williams,2011,PF,79.75,247.2,106.5,84.25,25.0,30.5,12.74,3.45
Solomon Alabi,2010,C,83.5,237.4,113.0,89.0,22.5,26.0,13.2,3.68
Cole Aldrich,2010,C,81.0,236.0,111.5,88.75,23.0,28.0,11.48,3.35
Al-Farouq Aminu,2010,SF,79.25,216.0,108.5,87.25,27.0,33.5,11.29,3.3
James Anderson,2010,SF,76.75,207.6,104.0,80.5,30.0,35.5,11.86,3.19
Luke Babbitt,2010,SF/PF,79.5,217.8,104.5,83.25,29.5,37.5,10.98,3.4
Eric Bledsoe,2010,PG,72.25,191.6,98.0,79.5,30.4,36.5,11.1,3.2
Trevor Booker,2010,PF,78.25,235.8,106.0,81.75,31.0,36.0,11.15,3.1
Craig Brackins,2010,SF/PF,80.5,229.0,109.0,84.0,26.0,35.0,11.65,3.39
Avery Bradley,2010,PG/SG,74.0,180.4,98.5,79.25,31.5,37.5,11.47,3.14
Derrick Caracter,2010,PF,80.25,280.0,107.5,84.25,25.0,30.5,12.78,3.61
Sherron Collins,2010,PG,70.25,217.2,94.0,74.5,27.5,33.0,12.31,3.24
DeMarcus Cousins,2010,C,81.5,291.8,113.0,89.75,23.5,27.5,11.4,3.55
Jordan Crawford,2010,SG,75.0,198.4,101.0,79.0,31.5,34.5,11.03,3.37
Ed Davis,2010,PF,81.0,226.6,108.0,84.0,31.0,36.0,11.7,3.21
Devin Ebanks,2010,SF,79.0,207.8,107.5,84.25,23.5,32.0,11.69,3.44
Derrick Favors,2010,PF,80.75,245.2,110.0,88.0,31.5,35.5,11.74,3.25
Keith Gallon,2010,PF/C,80.5,301.8,109.5,88.5,23.5,28.5,13.44,3.7
Charles Garcia,2010,SF,80.25,231.6,107.5,85.75,24.5,30.5,11.65,3.23
Paul George,2010,SF,79.75,214.4,107.0,83.25,29.0,34.0,11.5,3.3
Luke Harangody,2010,PF,78.0,240.2,106.0,81.5,24.0,28.5,11.83,3.41
Manny Harris,2010,SG,76.0,185.1,102.0,79.25,30.1,36.0,11.1,3.2
Gordon Hayward,2010,SF,78.75,211.0,103.0,79.75,30.5,34.5,11.73,3.22
Lazar Hayward,2010,SG/SF,76.5,225.8,102.0,84.75,31.0,36.0,10.87,3.31
Xavier Henry,2010,SG,77.25,210.2,105.0,83.25,28.5,36.5,11.1,3.18
Darington Hobson,2010,SG/SF,77.25,203.6,104.5,81.25,29.0,34.0,11.68,3.25
Damion James,2010,SF,78.25,226.6,107.0,84.75,29.0,33.0,10.89,3.2
Armon Johnson,2010,PG/SG,74.0,195.2,99.5,80.0,31.5,38.5,11.25,3.19
Wesley Johnson,2010,SF,78.25,206.4,106.0,85.0,32.0,37.0,11.43,3.14
Dominique Jones,2010,SG,75.25,216.0,101.0,81.25,26.0,32.5,10.88,3.31
Jerome Jordan,2010,C,83.5,244.2,113.0,89.25,27.8,32.1,11.9,3.4
Sylven Landesberg,2010,SG,76.75,210.0,100.5,81.0,28.0,32.0,11.59,3.36
Gani Lawal,2010,PF,79.5,233.4,107.5,84.0,27.0,31.5,11.61,3.24
Greg Monroe,2010,PF/C,81.75,246.6,108.5,86.25,25.0,29.0,12.1,3.35
Daniel Orton,2010,C,80.75,269.2,110.5,88.25,24.0,30.5,12.32,3.39
Artsiom Parakhouski,2010,C,82.25,268.2,109.5,85.0,25.5,26.5,12.07,3.33
Patrick Patterson,2010,PF,80.0,239.6,107.0,85.25,28.5,33.5,11.14,3.25
Dexter Pittman,2010,PF/C,81.5,302.6,111.0,90.0,26.9,30.3,12.2,3.4
Andy Rautins,2010,SG,76.25,191.6,100.0,79.0,23.5,30.5,11.27,3.49
Ryan Richards,2010,PF,82.5,230.2,110.0,85.5,25.0,28.5,11.33,3.37
Stanley Robinson,2010,SF,78.5,213.2,107.5,84.0,29.1,37.5,11.65,3.23
Larry Sanders,2010,PF/C,81.25,222.4,112.0,89.75,25.5,28.0,12.49,3.27
Jon Scheyer,2010,PG/SG,76.75,180.0,99.0,75.25,30.1,36.0,11.1,3.2
Lance Stephenson,2010,SG,76.5,227.0,103.0,82.5,27.0,33.0,11.39,3.38
Mikhail Torrance,2010,PG,76.0,208.8,103.0,79.5,23.0,32.0,11.43,3.17
Evan Turner,2010,SG,77.75,213.8,103.5,80.0,27.5,34.5,11.06,3.27
Ekpe Udoh,2010,PF,80.75,237.4,106.5,88.5,31.0,33.5,11.15,3.29
Jarvis Varnado,2010,PF/C,80.25,210.2,109.5,87.5,29.5,32.5,11.61,3.37
Greivis Vasquez,2010,PG/SG,77.0,210.8,101.0,79.0,29.4,34.8,11.4,3.3
John Wall,2010,PG,74.75,195.6,101.5,81.25,30.0,39.0,10.84,3.14
Willie Warren,2010,PG/SG,74.5,208.4,99.5,78.0,23.0,31.5,11.21,3.5
Terrico White,2010,PG/SG,75.75,202.6,101.0,81.0,31.0,40.0,11.38,3.15
Hassan Whiteside,2010,PF/C,82.5,226.6,113.0,91.0,27.0,31.5,11.83,3.54
Jeff Adrien,2009,PF,77.25,236.2,107.5,86.0,27.5,31.5,11.34,3.32
Jeff Ayres,2009,PF,80.75,239.6,107.0,85.0,31.0,35.0,11.98,3.14
Rodrigue Beaubois,2009,PG,73.25,182.4,100.0,81.75,29.5,39.0,10.49,3.15
DeJuan Blair,2009,PF,77.25,276.6,106.5,86.0,26.0,33.0,11.5,3.45
Derrick Brown,2009,SF/PF,79.5,224.6,107.5,86.5,30.5,35.5,11.26,3.13
Chase Budinger,2009,SG/SF,78.25,206.4,101.0,79.0,29.5,38.5,11.08,3.24
DeMarre Carroll,2009,SF/PF,78.25,207.2,105.0,82.0,29.3,34.6,11.4,3.3
Omri Casspi,2009,SF,79.75,211.2,106.5,81.25,25.5,32.5,11.15,3.28
Dionte Christmas,2009,SG,76.25,210.8,102.5,81.0,27.0,33.5,10.83,3.21
Earl Clark,2009,SF/PF,80.5,228.4,109.5,86.5,28.5,33.0,11.17,3.35
Darren Collison,2009,PG,72.25,166.2,96.5,75.0,30.5,33.5,10.45,3.1
Dante Cunningham,2009,PF,79.0,227.4,106.5,83.0,28.0,35.0,11.18,3.26
Stephen Curry,2009,PG/SG,74.0,181.0,97.0,75.5,29.5,35.5,11.07,3.28
Austin Daye,2009,SF/PF,81.75,191.8,110.0,86.75,25.0,28.0,12.11,3.55
DeMar DeRozan,2009,SG/SF,77.5,211.2,102.5,81.0,29.0,38.5,11.88,3.31
Toney Douglas,2009,PG,73.0,183.4,97.5,78.0,28.0,32.5,10.63,3.03
Wayne Ellington,2009,SG,76.25,202.4,100.0,78.5,31.5,38.0,11.14,3.2
Tyreke Evans,2009,PG/SG,76.0,220.6,104.0,83.25,28.5,34.0,11.81,3.17
Jonny Flynn,2009,PG,71.25,195.6,95.5,76.0,33.0,40.0,10.86,3.23
Taj Gibson,2009,PF,80.5,214.4,109.0,88.0,25.5,30.0,11.56,3.41
Danny Green,2009,SG/SF,77.25,208.0,103.0,82.0,29.0,33.0,11.3,3.3
Blake Griffin,2009,PF,80.5,248.4,105.0,83.25,32.0,35.5,10.95,3.28
Tyler Hansbrough,2009,PF,80.25,234.2,106.0,83.5,27.5,34.0,11.12,3.27
James Harden,2009,SG,76.0,222.0,103.5,82.75,31.5,37.0,11.1,3.13
Gerald Henderson,2009,SG/SF,76.0,214.6,102.5,82.25,31.5,35.0,11.17,3.14
Josh Heytvelt,2009,PF/C,82.0,246.2,108.0,85.25,28.5,34.0,11.67,3.38
Jordan Hill,2009,PF/C,81.25,232.4,108.0,85.5,31.0,35.0,12.23,3.3
Jrue Holiday,2009,PG/SG,75.25,199.0,100.5,79.0,28.5,34.0,10.64,3.21
Joe Ingles,2009,SF,79.75,209.2,105.0,82.25,26.0,31.0,10.66,3.3
James Johnson,2009,SF/PF,79.0,257.2,105.5,84.75,30.5,35.0,11.21,3.23
Ty Lawson,2009,PG,71.25,196.6,94.5,72.75,29.0,36.5,10.98,3.12
Eric Maynor,2009,PG,74.25,163.6,97.0,74.5,28.5,31.5,10.78,3.19
Jack McClinton,2009,PG/SG,71.75,185.2,96.0,74.5,30.0,36.5,10.44,3.21
Jerel McNeal,2009,SG,73.5,190.4,99.5,79.25,31.5,36.5,10.61,3.25
Jodie Meeks,2009,SG,75.0,211.4,98.0,76.5,28.5,37.0,10.96,3.1
Patty Mills,2009,PG,71.25,175.4,95.0,74.0,27.5,33.0,10.87,3.1
Byron Mullens,2009,C,83.75,258.2,111.0,85.5,28.5,32.5,11.1,3.45
A.J. Price,2009,PG,72.5,192.8,97.0,75.75,26.0,31.0,10.99,3.22
Tyler Smith,2009,SF,77.25,212.0,104.5,81.75,29.0,33.5,10.69,3.24
DaJuan Summers,2009,SF,79.25,243.0,106.5,84.75,29.5,34.5,10.94,3.17
Jermaine Taylor,2009,SG,75.5,207.4,101.0,80.75,34.0,37.5,11.54,3.32
Jeff Teague,2009,PG,72.25,175.2,98.5,79.5,30.5,36.5,11.05,3.18
Hasheem Thabeet,2009,C,85.25,267.2,113.0,90.25,27.1,30.8,12.1,3.4
Marcus T. Thornton,2009,SG,74.75,194.4,99.0,77.0,31.0,33.0,10.73,3.28
Terrence Williams,2009,SG/SF,77.0,213.2,103.5,81.0,30.5,37.0,11.15,3.18
Sam Young,2009,SG/SF,77.25,222.8,105.5,82.75,27.5,33.0,11.47,3.45
Joe Alexander,2008,SF/PF,79.25,220.0,106.0,83.5,32.5,38.5,11.33,2.99
Darrell Arthur,2008,PF,79.5,216.0,107.0,82.75,28.5,30.0,12.18,3.14
D.J. Augustin,2008,PG,70.0,171.5,94.5,75.5,28.5,35.0,11.27,3.07
Jerryd Bayless,2008,PG/SG,73.75,204.0,97.0,75.5,31.0,38.0,11.26,3.07
Michael Beasley,2008,SF/PF,79.0,239.0,107.0,84.25,30.0,35.0,11.06,3.24
Ramel Bradley,2008,PG/SG,73.25,184.0,98.0,77.0,24.5,29.5,10.68,3.24
Tyrone Brazelton,2008,PG,70.0,166.0,94.0,73.75,30.0,34.0,11.59,3.25
Takais Brown,2008,PF,79.25,252.0,106.0,82.0,29.0,31.0,12.47,3.25
Keith Brumbaugh,2008,SF/PF,79.5,190.0,104.5,79.25,26.0,27.0,11.65,3.28
Stanley Burrell,2008,PG,73.5,201.0,97.5,78.25,29.5,34.5,11.19,3.19
Brian Butch,2008,PF/C,81.5,229.6,108.0,83.25,24.0,26.5,11.87,3.52
Jamar Butler,2008,PG,72.25,182.0,97.0,76.75,30.6,36.9,11.0,3.2
Pat Calathes,2008,SF/PF,80.75,204.0,106.0,81.75,29.0,34.2,11.5,3.3
Joe Crawford,2008,SG,75.0,213.0,99.5,77.75,31.0,36.0,11.67,3.22
Chris Daniels,2008,PF/C,80.25,256.0,109.0,84.5,26.0,28.5,12.72,3.56
Joey Dorsey,2008,PF/C,78.25,265.0,107.0,85.75,27.5,33.0,11.84,3.2
Marcus Dove,2008,SF/PF,78.75,208.0,105.0,83.5,27.5,33.5,11.59,3.26
Josh Duncan,2008,PF,80.0,230.0,104.5,83.5,28.0,32.0,12.47,3.26
Frank Elegar,2008,PF,79.25,210.0,106.0,87.25,33.5,37.5,11.86,3.17
Patrick Ewing Jr.,2008,SF/PF,78.0,224.0,97.5,84.25,35.0,42.0,11.77,3.43
Gary Forbes,2008,SG,76.5,220.5,104.5,83.25,27.5,33.5,11.45,3.25
Shan Foster,2008,SG,76.0,194.5,103.5,83.5,30.0,33.0,12.3,3.24
J.R. Giddens,2008,SG,76.0,208.0,103.0,83.25,29.6,35.1,11.3,3.3
James Gist,2008,PF,79.0,220.0,107.5,88.0,30.5,35.0,11.37,3.14
Vladimir Golubovic,2008,C,83.25,258.0,111.5,86.5,21.5,27.0,12.4,3.33
Eric Gordon,2008,SG,74.0,222.0,99.0,81.0,32.0,40.0,10.81,3.01
Kentrell Gransberry,2008,C,78.75,290.0,106.0,82.25,24.5,27.5,12.16,3.32
Donte Greene,2008,SF/PF,80.25,221.0,108.0,82.0,27.5,31.5,11.21,3.2
Malik Hairston,2008,SG,76.25,204.0,103.5,81.0,30.5,38.0,11.33,3.08
DeVon Hardin,2008,PF/C,81.5,235.0,109.5,87.0,29.5,32.0,11.49,3.33
Richard Hendrix,2008,PF,78.75,250.0,108.0,87.0,26.5,28.0,10.62,3.27
George Hill,2008,PG,73.25,181.0,97.5,81.0,34.0,37.5,12.2,3.07
Kyle Hines,2008,SF/PF,75.75,234.0,104.5,85.25,28.5,33.0,12.17,3.4
Jiri Hubalek,2008,PF/C,81.5,226.0,109.0,82.75,20.5,26.0,12.26,3.54
Lester Hudson,2008,PG,71.75,196.0,98.5,80.75,30.5,36.0,11.15,3.16
Othello Hunter,2008,SF/PF,78.5,220.0,109.5,87.0,28.0,34.5,11.51,3.18
Darnell Jackson,2008,PF,79.0,240.5,106.5,83.25,27.0,31.0,11.75,3.26
Shawn James,2008,PF,79.75,217.0,111.0,89.0,28.9,33.9,11.5,3.3
Davon Jefferson,2008,SF,77.25,213.0,105.0,81.5,27.0,32.0,12.02,3.36
Joseph Jones,2008,PF,79.0,240.0,107.0,84.25,25.5,31.0,11.61,3.33
DeAndre Jordan,2008,C,81.75,250.0,113.5,90.0,26.0,30.5,12.3,3.27
Sasha Kaun,2008,PF/C,81.0,247.0,110.0,88.0,29.0,32.0,12.06,3.2
Marcelus Kemp,2008,SG,75.0,221.0,103.5,80.5,26.0,30.0,11.79,3.39
Maarty Leunen,2008,SF,79.25,222.0,102.5,80.0,29.5,34.5,11.57,3.36
Longar Longar,2008,C,81.0,212.5,109.5,85.25,28.8,33.8,11.5,3.3
Brook Lopez,2008,C,83.25,258.0,113.0,89.5,27.5,30.5,12.77,3.57
Kevin Love,2008,PF,79.75,255.0,106.0,83.25,29.5,35.0,11.17,3.22
Aleks Maric,2008,C,81.75,273.0,109.5,85.0,23.0,28.0,11.76,3.35
O.J. Mayo,2008,PG/SG,75.25,200.0,99.5,78.0,30.5,41.0,11.04,3.14
James Mays,2008,PF,78.75,227.0,105.0,85.75,29.5,35.0,11.23,3.19
Luc Mbah a Moute,2008,SF,77.75,221.0,103.5,86.5,32.0,38.5,11.71,3.17
JaVale McGee,2008,PF/C,83.0,241.0,114.5,90.0,27.0,32.5,12.75,3.25
Drew Neitzel,2008,PG,71.75,175.5,95.0,74.5,25.5,32.0,11.19,3.2
DeMarcus Nelson,2008,PG/SG,73.0,198.0,98.5,82.0,34.5,38.5,10.54,3.13
David Padgett,2008,PF/C,82.25,239.5,109.5,85.0,24.0,28.0,12.45,3.45
Jeremy Pargo,2008,PG,72.5,208.0,96.0,77.0,32.0,37.0,10.65,3.07
Trent Plaisted,2008,PF,81.25,240.0,105.5,82.5,30.5,35.5,11.32,3.17
Quan Prowell,2008,SF/PF,78.75,225.5,103.5,82.5,32.0,36.0,11.79,3.14
Shaun Pruitt,2008,PF/C,80.25,242.2,107.5,85.0,27.0,32.5,11.3,3.4
Anthony Randolph,2008,SF/PF,81.0,197.0,109.0,87.0,29.0,35.0,11.86,3.26
Charles Rhodes,2008,PF,79.25,244.0,107.5,83.25,26.5,33.5,11.51,3.13
Brian Roberts,2008,PG,72.25,173.0,95.0,73.25,31.5,36.5,10.65,3.05
Russell Robinson,2008,PG,72.5,196.0,100.5,80.0,25.0,31.5,11.3,3.15
Richard Roby,2008,SG/SF,76.25,203.0,104.0,81.75,29.7,35.2,11.3,3.2
Derrick Rose,2008,PG,73.5,196.0,98.5,80.0,34.5,40.0,11.69,3.05
Sean Singletary,2008,PG,71.0,183.8,95.0,76.5,26.0,37.1,10.9,3.2
Ronald Steele,2008,PG,72.25,183.5,97.5,76.25,25.0,29.5,11.08,3.26
Bryce Taylor,2008,SG,74.75,210.0,99.5,81.0,34.5,41.0,11.08,3.19
Mike Taylor,2008,PG/SG,72.75,166.2,98.0,79.25,31.0,39.0,10.98,3.08
Mark Tyndale,2008,SG/SF,74.75,217.0,103.5,83.0,27.0,33.5,12.52,3.14
Robert Vaden,2008,SG,75.5,199.0,101.0,80.0,26.0,29.5,11.97,3.4
Deron Washington,2008,SF,77.25,198.5,102.5,81.0,34.0,40.0,11.03,3.09
Sonny Weems,2008,SG/SF,76.0,193.0,104.0,82.0,29.0,36.5,10.58,2.96
Russell Westbrook,2008,PG,74.25,192.0,100.0,79.75,30.0,36.5,10.98,3.08
Reggie Williams,2008,SG,75.25,199.0,103.0,81.25,31.5,36.5,11.32,3.07
Mohamed Abukar,2007,SF,80.0,210.0,103.0,81.0,30.5,35.0,11.78,3.37
Mario Boggan,2007,PF,77.0,240.0,107.0,86.0,24.0,26.5,12.18,3.45
Craig Bradshaw,2007,PF,80.0,240.0,106.5,85.5,26.0,28.0,11.88,3.54
Corey Brewer,2007,SG/SF,78.0,185.0,103.0,80.25,30.5,36.5,11.69,3.22
Aaron Brooks,2007,PG,70.0,161.0,94.0,76.0,32.5,39.5,10.57,3.2
Bobby Brown,2007,PG,71.0,170.0,95.5,76.0,32.5,41.0,11.27,3.25
Russell Carter,2007,SG,75.0,221.0,97.5,80.5,33.0,38.5,11.61,3.29
Coleman Collins,2007,PF,80.0,236.0,107.0,86.0,30.0,35.0,11.47,3.3
Mike Conley,2007,PG,71.0,175.0,94.5,77.75,35.5,40.5,11.63,3.09
Daequan Cook,2007,SG,75.0,203.0,101.5,80.25,30.0,34.5,11.12,3.22
Ryvon Covile,2007,PF/C,79.0,250.0,107.5,85.25,25.0,30.5,12.52,3.37
Javaris Crittenton,2007,PG,75.0,194.0,98.0,77.5,32.5,38.0,11.6,3.32
Jermareo Davidson,2007,PF,81.0,230.0,109.5,88.0,27.0,30.0,12.63,3.53
Justin Doellman,2007,PF,80.0,205.0,105.0,80.75,29.1,34.3,11.4,3.3
Zabian Dowdell,2007,PG,73.0,191.0,100.0,82.0,30.0,33.5,11.13,3.29
Jared Dudley,2007,SF,77.0,219.0,102.0,79.0,28.0,32.0,11.32,3.45
